CustomerID,Age,Tenure_Years,Balance,IsActiveMember,RiskScore,RiskCategory,Churn
5810,38,0,9971.295371583006,0,95,High Risk,1
7984,34,0,2433.468099158287,0,95,High Risk,1
1890,61,1,25721.561330512788,0,95,High Risk,0
10321,38,0,68009.66414539059,0,95,High Risk,1
3718,58,2,28897.965097822165,0,90,High Risk,1
4132,44,1,24013.179897388574,0,90,High Risk,1
3324,70,2,44593.415869257246,0,90,High Risk,1
3624,66,1,55840.97022158413,0,90,High Risk,1
3933,31,0,116441.23082512908,0,90,High Risk,1
4302,30,3,51126.57834978087,0,90,High Risk,1
4426,60,3,38664.62504637053,0,90,High Risk,0
4773,33,0,132714.94383180104,0,90,High Risk,1
6944,21,0,66060.24046875002,0,90,High Risk,1
7148,39,4,32183.45234618289,0,90,High Risk,1
7358,21,0,92519.52926432925,0,90,High Risk,1
9858,46,2,31714.255927728947,0,90,High Risk,1
4090,47,0,133189.81816086857,0,90,High Risk,1
6569,49,1,45590.004242656716,0,90,High Risk,1
6600,51,0,72648.91100744662,0,90,High Risk,0
7083,63,1,77897.31766835928,0,90,High Risk,1
3430,39,2,32052.23799707771,0,90,High Risk,1
8968,39,1,5268.002664225141,0,90,High Risk,1
9543,34,0,100699.90398642627,0,90,High Risk,1
3489,45,1,3905.944459178884,0,90,High Risk,1
6042,19,0,148334.73512620103,0,90,High Risk,1
6520,22,1,2997.811007063811,0,90,High Risk,1
4866,34,0,177280.40195971527,0,90,High Risk,1
9706,54,1,15624.279893328625,0,90,High Risk,1
5834,54,1,16321.822803477577,0,90,High Risk,1
5255,48,0,126550.74931652704,0,90,High Risk,1
5874,48,0,137991.68035622552,0,90,High Risk,1
2539,27,1,35869.81743640205,0,90,High Risk,1
8068,41,0,168388.76469239226,0,90,High Risk,1
8209,25,2,31552.245977798542,0,90,High Risk,1
2615,42,0,203840.50086779494,0,90,High Risk,1
10149,37,0,19038.346382331343,0,90,High Risk,1
6068,69,2,79699.60201101734,0,90,High Risk,0
5576,41,2,66897.5445819632,0,90,High Risk,1
5663,36,1,9033.634953840048,0,90,High Risk,1
5636,18,0,73386.3232237417,0,90,High Risk,1
8614,39,0,131099.99311021483,0,90,High Risk,1
5065,30,1,51865.14635904865,0,90,High Risk,1
5067,47,2,47556.67410410327,0,90,High Risk,1
3129,55,0,38489.07553090769,0,90,High Risk,0
1110,43,0,118099.99220984108,0,90,High Risk,1
10181,43,0,95163.36078026753,0,90,High Risk,1
3110,54,1,40471.70583914675,0,90,High Risk,1
3260,47,0,41545.571080854825,0,90,High Risk,1
8915,39,0,90099.37142645394,0,90,High Risk,1
2738,28,1,68433.96471245967,0,90,High Risk,0
5446,33,2,80284.72923647409,0,90,High Risk,1
10820,61,1,72936.33706389519,0,90,High Risk,1
9502,38,0,58166.40453019598,0,90,High Risk,1
3543,41,2,57649.85871254577,0,90,High Risk,1
10843,36,1,39928.26748100589,0,90,High Risk,1
9441,33,0,24341.809185479986,0,90,High Risk,1
2010,36,0,2395.2537747308766,0,90,High Risk,1
7225,52,1,14045.0899295278,0,90,High Risk,1
7660,49,0,44243.907466605146,0,90,High Risk,1
7614,77,0,166150.69118569998,0,90,High Risk,1
1252,58,0,46403.67267659906,0,85,High Risk,1
10984,48,2,45966.10298205428,0,85,High Risk,1
1232,48,3,58774.27881768807,0,85,High Risk,1
1349,34,2,116812.71203600518,0,85,High Risk,1
1324,76,2,67685.45337237278,0,85,High Risk,0
1089,37,2,28951.877578895863,0,85,High Risk,1
7494,54,0,72589.49690594057,1,85,High Risk,1
7551,44,2,85136.82132927189,0,85,High Risk,1
7793,58,2,212.27740542953399,0,85,High Risk,1
7744,22,1,55882.015560382744,0,85,High Risk,1
7756,18,4,9930.300462942243,0,85,High Risk,1
1495,67,1,5094.28677005791,0,85,High Risk,1
1581,50,2,46558.05119105347,0,85,High Risk,0
1624,65,1,58239.3817056932,0,85,High Risk,1
7190,64,2,10175.610455010836,0,85,High Risk,0
7261,66,4,9374.665116793218,0,85,High Risk,1
9425,54,2,24594.24443227029,0,85,High Risk,1
3537,59,3,80127.48878990342,0,85,High Risk,1
1274,45,2,860.6247361024333,0,85,High Risk,1
1298,49,1,41629.67763346534,0,85,High Risk,1
10687,18,0,36299.15755751059,0,85,High Risk,0
10729,38,0,115793.65000560612,0,85,High Risk,1
7447,33,0,58192.46405964973,0,85,High Risk,1
7464,53,1,54668.55447898519,0,85,High Risk,1
1695,53,4,18482.597689539136,0,85,High Risk,1
10556,75,0,38577.95586691274,0,85,High Risk,1
5354,19,2,11097.426043796515,0,85,High Risk,0
5402,61,0,180924.09936716562,0,85,High Risk,1
8709,34,1,61294.7035431293,0,85,High Risk,0
8729,50,4,62511.369064657236,0,85,High Risk,1
8662,47,2,68763.26583516343,0,85,High Risk,1
8763,29,0,7499.878191269183,0,85,High Risk,1
8813,47,2,67465.39427962148,0,85,High Risk,0
2953,31,0,44878.67557089978,0,85,High Risk,1
2955,36,1,53342.539288823595,0,85,High Risk,1
3151,42,1,40261.54472039739,0,85,High Risk,1
3041,34,1,1627.161721152376,0,85,High Risk,1
3243,74,0,49216.7877527018,1,85,High Risk,0
8826,62,0,33164.130080572344,0,85,High Risk,1
5009,37,1,3341.4050829468633,0,85,High Risk,0
5139,58,2,65860.46013630099,0,85,High Risk,0
5140,45,1,64504.81568119163,0,85,High Risk,1
8430,21,2,9678.127091766519,0,85,High Risk,1
8452,52,3,80081.77696630637,0,85,High Risk,1
5614,37,1,8972.69106442758,0,85,High Risk,1
5619,44,3,78406.39202646237,0,85,High Risk,1
5680,48,0,48708.88064806936,1,85,High Risk,1
8557,64,0,14797.272076013945,0,85,High Risk,1
5890,54,0,242269.55006518867,0,85,High Risk,1
5774,45,1,59073.401547761365,0,85,High Risk,1
5195,18,0,181423.99661647677,0,85,High Risk,1
5207,52,1,41697.929512480885,0,85,High Risk,1
2793,42,4,49058.011554761026,0,85,High Risk,1
2873,40,0,65021.28403411159,0,85,High Risk,0
2884,36,3,45206.33278809347,0,85,High Risk,0
2885,44,0,5475.268981591979,0,85,High Risk,1
2411,64,4,70416.02552788545,0,85,High Risk,1
5419,39,1,6468.026473157751,0,85,High Risk,0
8032,37,0,16612.06921532046,0,85,High Risk,1
6773,55,0,62375.00155931952,0,85,High Risk,0
8258,54,3,20834.444340301463,0,85,High Risk,1
8176,50,2,6528.08709039715,0,85,High Risk,1
2584,45,0,177450.05224101388,0,85,High Risk,1
2597,54,2,25699.005745342256,0,85,High Risk,1
10016,30,0,1725.0626570413929,0,85,High Risk,1
10123,55,0,132227.30939445613,0,85,High Risk,1
10131,63,0,209234.6131933106,0,85,High Risk,1
6424,43,0,239849.43310631206,0,85,High Risk,1
6287,26,1,39173.33346312863,0,85,High Risk,1
6505,37,1,49435.45020028789,0,85,High Risk,1
6530,43,0,199848.9355837091,0,85,High Risk,1
8321,54,1,62015.36526115009,0,85,High Risk,1
6172,25,0,238715.0189838672,0,85,High Risk,0
5180,39,3,38972.60936378485,0,85,High Risk,1
4604,45,0,20064.529996450754,0,85,High Risk,0
4816,18,0,39780.235717988886,1,85,High Risk,0
4869,47,2,15669.067058700859,0,85,High Risk,1
4377,40,1,38653.128665874225,0,85,High Risk,1
4280,53,0,74625.84763676222,0,85,High Risk,1
9612,53,2,27879.95611549937,0,85,High Risk,1
9668,34,1,47370.35068270331,0,85,High Risk,1
9685,58,0,133530.29989219047,0,85,High Risk,1
2968,42,2,68751.69155544286,0,85,High Risk,1
9799,63,0,155247.03870839032,0,85,High Risk,1
8976,49,1,30878.31572170413,0,85,High Risk,1
9027,27,0,82493.33436441717,0,85,High Risk,0
8955,65,2,62148.58306719134,0,85,High Risk,1
7140,59,2,8571.63790153337,0,85,High Risk,0
7370,38,0,125941.25080936028,0,85,High Risk,1
7304,61,0,39645.241907702104,0,85,High Risk,1
6827,43,2,159204.29402339386,0,85,High Risk,0
6839,26,4,76401.81454135547,0,85,High Risk,1
6842,27,2,628.5852710689876,0,85,High Risk,0
6847,80,1,132389.5318376713,0,85,High Risk,1
6858,37,2,136013.42056199396,0,85,High Risk,1
2201,46,1,75405.18427133324,0,85,High Risk,1
2216,63,0,68475.61776723596,0,85,High Risk,0
2224,51,2,14178.399158277676,0,85,High Risk,1
2272,54,2,56173.62294508896,0,85,High Risk,1
2380,72,0,141256.83558920128,0,85,High Risk,1
1788,51,1,111804.18497338785,0,85,High Risk,1
6909,70,1,20607.394086843393,0,85,High Risk,1
7097,27,2,100603.93083906305,0,85,High Risk,1
6786,53,1,81622.57373936719,0,85,High Risk,0
9086,48,2,64200.74426131314,0,85,High Risk,0
9088,40,2,4909.549329918466,0,85,High Risk,0
4014,24,0,19629.431552955713,1,85,High Risk,1
9205,39,2,17201.288439263495,0,85,High Risk,1
4157,26,0,163284.10270453084,0,85,High Risk,1
3763,58,2,45602.349566280565,0,85,High Risk,1
3791,53,0,169065.72320856169,0,85,High Risk,1
3793,38,1,69379.69763696018,0,85,High Risk,1
3606,42,2,58662.9673257687,0,85,High Risk,1
3404,40,2,49385.97213288964,0,85,High Risk,0
3340,35,4,1409.6558750968934,0,85,High Risk,0
9365,58,4,28021.303976627194,0,85,High Risk,1
3908,28,0,38107.247777139586,0,85,High Risk,0
3868,31,1,24183.237588140088,0,85,High Risk,1
9395,32,3,78912.6796416185,0,85,High Risk,1
9302,37,1,164574.00380337,0,85,High Risk,1
1126,77,0,195532.93111446407,0,85,High Risk,1
7469,52,1,102062.20291247695,0,80,High Risk,1
7696,28,0,96591.15620882921,0,80,High Risk,1
1399,43,0,84636.16190836787,0,80,High Risk,1
1211,53,0,77298.14982736255,1,80,High Risk,0
7465,26,0,167543.135412059,0,80,High Risk,1
7749,37,0,46775.189808821895,1,80,High Risk,1
1128,36,2,123842.29765859478,0,80,High Risk,1
7424,47,2,160638.50287887262,0,80,High Risk,0
10533,22,4,5764.827114402682,0,80,High Risk,1
10596,38,0,111294.23043145153,0,80,High Risk,1
7496,50,0,87195.38830572274,0,80,High Risk,1
7480,49,2,8656.143444148862,0,80,High Risk,1
1855,66,9,29181.21010268926,0,80,High Risk,1
1903,45,10,74916.37382624045,0,80,High Risk,1
1569,18,9,355.4180077475211,0,80,High Risk,1
7838,18,1,115925.3493645577,0,80,High Risk,1
7876,31,0,88321.3212684971,0,80,High Risk,1
2335,47,3,11118.649602700869,0,80,High Risk,1
2343,51,3,51341.970934682984,0,80,High Risk,0
2227,45,3,29756.64448576784,0,80,High Risk,0
2231,36,4,10383.817739033047,0,80,High Risk,0
1914,68,0,93708.42464428986,0,80,High Risk,1
1921,61,4,11223.278593605168,0,80,High Risk,1
2314,53,0,3208.900349184224,1,80,High Risk,0
2168,53,8,39588.62009426584,0,80,High Risk,1
2098,18,0,34903.16508824162,0,80,High Risk,1
3565,31,0,158736.7074007411,0,80,High Risk,1
3529,75,0,185533.1964061594,0,80,High Risk,1
3665,51,1,58965.678242755006,0,80,High Risk,0
3647,39,0,7035.820261478642,0,80,High Risk,1
10620,35,1,1916.004994264614,0,80,High Risk,1
10693,80,2,198968.08996894018,0,80,High Risk,1
1450,29,0,137947.19527666448,0,80,High Risk,1
9510,53,5,32364.27048161081,0,80,High Risk,1
7397,46,0,135039.95062476044,0,80,High Risk,1
2236,69,0,131168.86575281378,0,80,High Risk,1
7129,32,0,78709.2438792065,0,80,High Risk,1
6677,47,0,242849.74689249042,0,80,High Risk,1
6687,63,1,155259.05008491466,0,80,High Risk,1
7232,39,0,141321.72208700757,0,80,High Risk,0
7239,33,0,96107.32607004236,0,80,High Risk,1
6715,50,2,39071.233674193936,0,80,High Risk,0
6560,56,2,45939.67028528961,0,80,High Risk,1
6581,73,2,161801.5867595469,0,80,High Risk,1
6792,18,0,102617.49459669397,0,80,High Risk,1
9014,44,6,56172.87906741078,0,80,High Risk,1
3992,54,1,64750.51794862288,0,80,High Risk,0
8990,53,2,202015.67967091847,0,80,High Risk,0
9267,57,0,2921.650884154636,0,80,High Risk,0
3369,28,0,89319.73252601102,0,80,High Risk,0
3323,51,0,161570.53635235628,0,80,High Risk,0
3672,53,2,149909.12046582857,0,80,High Risk,1
3673,48,1,127069.25098579391,0,80,High Risk,1
3643,32,3,74813.20140223249,0,80,High Risk,0
3350,39,2,20348.522001973513,0,80,High Risk,1
6990,39,1,92331.25472532885,0,80,High Risk,1
7059,80,0,97553.45147715406,0,80,High Risk,0
1802,37,10,2130.3490803946665,0,80,High Risk,1
1803,46,1,30507.8787946462,0,80,High Risk,0
1816,22,1,66129.35249171234,0,80,High Risk,1
10027,38,0,158572.72658408075,0,80,High Risk,0
6892,55,3,65469.50676083105,0,80,High Risk,1
8213,25,2,137566.45368660096,0,80,High Risk,1
8246,35,0,113368.81201627738,0,80,High Risk,1
8073,24,2,78828.83171356855,0,80,High Risk,0
8055,47,0,205173.49029654384,0,80,High Risk,1
6770,20,1,53519.85536406703,0,80,High Risk,0
6315,35,4,56917.075137357526,0,80,High Risk,1
6061,40,3,12805.767757227055,0,80,High Risk,1
5935,38,8,15733.142612129686,0,80,High Risk,1
8077,57,2,9224.709862183405,0,80,High Risk,0
8083,33,0,83753.18993376262,0,80,High Risk,1
6519,26,0,104642.28889719505,0,80,High Risk,1
6525,32,1,81103.1919910408,0,80,High Risk,0
6542,70,0,111458.09775155838,0,80,High Risk,0
6491,38,1,151921.06011281742,0,80,High Risk,1
6222,45,6,57332.36735102137,0,80,High Risk,0
5994,53,2,32056.127309917527,0,80,High Risk,0
5711,35,2,199255.33691857912,0,80,High Risk,1
10132,75,2,214708.04281294308,0,80,High Risk,1
8579,36,0,90966.3470763003,0,80,High Risk,0
8587,29,2,96899.04864214385,0,80,High Risk,1
5840,35,0,144768.72208308868,0,80,High Risk,1
5754,38,2,110430.62280423235,0,80,High Risk,1
4513,70,9,41212.658838081836,0,80,High Risk,0
4384,60,4,36649.60339071402,0,80,High Risk,1
4434,43,1,114229.33758293449,0,80,High Risk,0
9689,75,0,120518.84923833502,0,80,High Risk,1
4273,58,1,244669.3292048977,0,80,High Risk,0
4279,46,0,125434.55525067479,0,80,High Risk,1
4283,18,3,72921.00253665278,0,80,High Risk,1
4875,33,0,73605.77507427026,0,80,High Risk,0
4189,58,0,232193.10639597027,0,80,High Risk,1
4329,28,1,198600.25247298623,0,80,High Risk,0
4338,42,0,52640.91331564319,0,80,High Risk,1
9262,70,0,149876.36006724846,0,80,High Risk,1
8386,49,0,156045.32723520696,0,80,High Risk,0
8294,30,0,168506.48825217108,0,80,High Risk,1
8316,68,8,36854.69333881489,0,80,High Risk,1
8540,40,6,60305.018806971864,0,80,High Risk,1
6092,34,4,26047.400955942103,0,80,High Risk,1
6095,43,2,71413.90859727864,0,80,High Risk,1
6100,46,0,133069.6537512731,0,80,High Risk,1
8477,18,1,153913.70435409,0,80,High Risk,1
8515,27,2,33793.06852112959,0,80,High Risk,1
6154,37,0,68457.02435498164,1,80,High Risk,0
2503,32,1,11272.99297784451,0,80,High Risk,1
2388,68,1,129399.70621885957,0,80,High Risk,0
2834,49,0,203365.59828368106,0,80,High Risk,1
2477,43,0,47834.80075033517,1,80,High Risk,1
2482,39,0,55066.538295947095,1,80,High Risk,1
2826,51,0,59819.365720776506,1,80,High Risk,0
5280,50,1,49627.23820966533,0,80,High Risk,1
2423,39,6,76738.62548165505,0,80,High Risk,1
3221,39,0,53878.84958821071,1,80,High Risk,1
3242,53,2,13363.386951216888,0,80,High Risk,0
5025,34,1,190104.18594913188,0,80,High Risk,1
5026,40,0,163776.09123954727,0,80,High Risk,1
4747,18,0,75429.46796380891,1,80,High Risk,1
8875,80,0,147687.86289014423,0,80,High Risk,1
9649,48,6,20045.322928638616,0,80,High Risk,1
3496,57,4,55716.57747311015,0,80,High Risk,1
9804,54,3,58571.85237242291,0,80,High Risk,0
8919,34,1,70432.6709512095,0,80,High Risk,1
8769,55,0,170436.2464691995,0,80,High Risk,1
3163,52,3,31010.874808591077,0,80,High Risk,1
5542,74,0,83366.10711478906,0,80,High Risk,1
5404,50,0,81458.64064744135,1,80,High Risk,1
4655,47,6,12150.335198623796,0,80,High Risk,1
4661,39,0,26509.620212203074,1,80,High Risk,1
8671,56,0,2687.0414378954433,0,80,High Risk,1
4759,49,1,137435.57922347754,0,80,High Risk,1
4579,32,2,164907.50612539164,0,80,High Risk,1
4631,53,0,97242.91032706333,0,80,High Risk,1
4927,59,0,866.1022743828295,0,80,High Risk,1
1242,43,2,45527.315585766504,0,80,High Risk,1
7476,54,1,148986.82608234885,0,80,High Risk,1
1339,51,9,34055.81854149123,0,80,High Risk,1
10970,34,0,43510.61976928372,1,80,High Risk,1
1523,35,0,113126.83411482039,0,80,High Risk,1
1536,45,2,130321.69762479737,0,80,High Risk,1
1256,37,0,59506.44487020659,1,80,High Risk,0
1509,45,0,95379.96507649762,0,80,High Risk,1
9472,68,2,86672.26866167733,0,80,High Risk,1
9385,46,8,71071.01492962164,0,80,High Risk,1
3459,52,3,81116.37281847248,0,80,High Risk,0
9542,24,0,51574.277689198534,1,80,High Risk,0
10800,27,2,147974.0533196079,0,80,High Risk,0
10310,60,0,110691.75900923258,0,80,High Risk,1
10188,50,0,117962.76381120279,0,80,High Risk,1
10950,64,3,164100.2133033866,0,75,High Risk,1
10311,73,1,64395.58941320747,0,75,High Risk,1
10328,61,3,72394.24901585201,0,75,High Risk,1
10219,31,2,69090.86989704402,1,75,High Risk,0
4199,39,0,76156.39237908264,1,75,High Risk,1
4239,47,2,32779.308966720324,0,75,High Risk,0
3648,23,7,23532.875059177644,0,75,High Risk,1
3557,18,2,104434.54411094067,0,75,High Risk,1
3617,33,0,137866.67117809126,0,75,High Risk,1
3518,18,4,63506.92314576006,0,75,High Risk,1
3524,40,0,29691.853235155,0,75,High Risk,1
3330,57,2,156240.87927330396,0,75,High Risk,1
10683,59,2,33268.53248970857,0,75,High Risk,1
10691,52,0,24675.001430134624,0,75,High Risk,1
3882,18,1,128984.75161642107,0,75,High Risk,1
3748,27,10,36573.12568029747,0,75,High Risk,1
3717,54,0,193535.90493539092,0,75,High Risk,1
3730,37,1,148202.94898482726,0,75,High Risk,1
3733,53,0,29247.05892059698,1,75,High Risk,0
3735,74,1,200016.76906274728,0,75,High Risk,1
1448,30,0,48289.27581741368,0,75,High Risk,0
9493,43,1,53445.53632058682,0,75,High Risk,1
9498,63,1,213546.69660486624,0,75,High Risk,1
9511,45,2,82667.5671738849,1,75,High Risk,1
10754,50,0,46158.566232471,0,75,High Risk,0
10786,48,4,8656.344294602603,0,75,High Risk,0
10664,48,5,68560.83798152507,0,75,High Risk,1
10678,68,1,52318.45946384936,0,75,High Risk,1
2134,51,3,60177.88971818858,0,75,High Risk,0
6846,36,6,5784.048688605353,0,75,High Risk,1
7409,38,0,193197.33456818323,0,75,High Risk,1
7417,25,4,16366.121216028207,0,75,High Risk,1
7418,67,0,175554.77049167515,0,75,High Risk,1
7306,59,3,107667.90135229645,0,75,High Risk,0
7220,65,5,73517.78979326106,0,75,High Risk,1
2303,42,1,563.2456532309316,0,75,High Risk,0
5499,18,0,214870.13046493064,0,75,High Risk,1
5564,48,2,41089.59392560918,0,75,High Risk,0
2928,40,2,59669.776718595276,0,75,High Risk,0
8912,53,4,48996.06534441528,0,75,High Risk,1
8706,40,2,72321.93676662316,0,75,High Risk,1
8713,41,3,7378.0161237251,0,75,High Risk,0
8632,32,2,24000.251098594134,1,75,High Risk,0
8649,30,2,29069.70972112874,0,75,High Risk,1
4876,62,6,17181.56996915718,0,75,High Risk,1
4930,47,5,81020.36479225183,0,75,High Risk,1
4938,25,0,241366.56399539427,0,75,High Risk,1
4836,39,1,149260.361708671,0,75,High Risk,1
4858,53,2,145355.28616315432,0,75,High Risk,1
8677,41,5,64410.87171463225,0,75,High Risk,0
8684,68,0,246864.58628874941,0,75,High Risk,1
5454,49,7,24922.50914350949,0,75,High Risk,0
1219,37,5,56299.132056311704,0,75,High Risk,1
10979,29,5,46782.85817704514,0,75,High Risk,1
1246,39,8,617.1257464989976,0,75,High Risk,1
1039,25,2,50535.65156084633,0,75,High Risk,0
10424,46,2,203460.39629239214,0,75,High Risk,0
4583,73,3,50395.271560008834,0,75,High Risk,0
4599,50,1,163779.23253483503,0,75,High Risk,1
5158,37,0,16627.098866645458,0,75,High Risk,0
1260,56,2,76844.6177510684,0,75,High Risk,0
1170,33,2,20663.76544745527,0,75,High Risk,0
1174,50,0,223217.81308202544,0,75,High Risk,1
1188,43,2,160883.86957143273,0,75,High Risk,1
1191,38,0,138669.63135873477,0,75,High Risk,0
1202,53,10,9074.069602687363,0,75,High Risk,1
10744,47,2,44314.57169040037,0,75,High Risk,1
1062,42,2,54125.668920132346,0,75,High Risk,1
4940,33,0,48008.81850871697,0,75,High Risk,1
4703,31,0,38842.47853024206,1,75,High Risk,1
3171,59,2,175985.73545171026,0,75,High Risk,0
3194,24,0,142012.56360075742,0,75,High Risk,1
3037,50,9,7906.862671162474,0,75,High Risk,0
3050,47,0,104454.36294528107,0,75,High Risk,1
2916,36,0,8441.394305116311,1,75,High Risk,1
2924,48,0,308.6311507221329,1,75,High Risk,1
2719,55,1,106551.19307232808,0,75,High Risk,1
2724,54,2,4600.388670045141,0,75,High Risk,1
2753,35,2,58659.97207826529,0,75,High Risk,0
5181,49,0,57576.610852414,0,75,High Risk,1
5194,18,3,47334.23629474443,0,75,High Risk,0
5078,18,0,128431.63136082378,0,75,High Risk,1
5133,61,8,41531.30948861133,0,75,High Risk,1
5024,56,5,29715.291477285937,0,75,High Risk,1
9719,52,3,15012.915322438314,0,75,High Risk,0
9741,33,2,45877.20838484646,0,75,High Risk,0
9780,42,10,78321.92932972507,0,75,High Risk,1
9781,33,9,22652.630217848135,0,75,High Risk,1
4947,53,5,60015.56924685406,0,75,High Risk,1
4959,61,5,19507.166071391996,0,75,High Risk,0
4985,48,1,162401.20235868698,0,75,High Risk,1
8906,43,0,236666.38626961564,0,75,High Risk,0
3269,37,2,83942.22480294769,0,75,High Risk,1
9620,68,1,62220.894125548846,0,75,High Risk,1
3483,74,1,20229.853043919833,0,75,High Risk,1
3486,57,4,37250.57620777331,0,75,High Risk,1
3505,28,1,15371.8752420548,0,75,High Risk,1
9793,45,1,77645.88213885792,0,75,High Risk,1
9854,18,4,34632.04246133722,0,75,High Risk,1
9713,27,3,64763.89885560885,0,75,High Risk,1
5349,30,4,25375.20749444469,0,75,High Risk,0
5393,49,7,49048.18725664187,0,75,High Risk,1
2534,42,0,91668.49286354994,0,75,High Risk,0
2538,37,8,23792.736925666468,0,75,High Risk,1
2547,30,2,36775.00262582428,0,75,High Risk,1
2474,45,1,58167.29250681624,0,75,High Risk,1
6125,55,4,6724.097144214264,0,75,High Risk,1
6215,50,3,31059.8684658685,0,75,High Risk,1
2780,34,1,45005.576716021125,0,75,High Risk,1
2802,44,0,186879.2241868766,0,75,High Risk,1
2490,63,1,61766.11019741113,0,75,High Risk,0
2505,42,2,45311.19288710958,0,75,High Risk,1
2510,67,0,234266.16366351407,0,75,High Risk,1
2512,42,3,61438.69283194575,0,75,High Risk,0
5411,34,4,78255.95073895683,0,75,High Risk,1
5435,36,0,245221.1151987504,0,75,High Risk,1
2709,43,1,72144.7601544429,0,75,High Risk,0
5216,53,4,29688.89606661054,0,75,High Risk,1
5239,66,0,25019.57842787009,0,75,High Risk,0
5262,40,3,69186.89109338148,0,75,High Risk,1
2442,62,4,34909.220406956985,0,75,High Risk,1
2446,35,4,55736.67623338027,0,75,High Risk,0
2854,58,0,104065.39821234165,0,75,High Risk,1
2858,41,2,75254.91900678036,0,75,High Risk,1
2774,47,4,73560.89402106871,0,75,High Risk,0
2651,53,2,207805.16570184715,0,75,High Risk,0
2683,31,2,79975.74837643185,0,75,High Risk,0
